recommended_structure,roof_area,region,installation_cost,payback_period
Cistern,23.89,Gujarat,10973.62,20.41
Recharge Well,19.84,West Bengal,13953.04,11.72
Cistern,18.15,Tamil Nadu,9538.61,15.57
Recharge Well,34.87,Karnataka,18460.94,13.24
Cistern,12.37,Gujarat,8091.81,29.08
Rainwater Barrel,29.33,Karnataka,3932.96,5.36
Recharge Well,56.2,Rajasthan,24859.45,22.12
Infiltration Trench,45.42,Punjab,13084.17,11.76
Cistern,41.11,West Bengal,15277.15,6.61
Cistern,21.16,Gujarat,10291.03,21.61
Recharge Well,14.98,Punjab,12495.06,29.78
Infiltration Trench,55.75,Tamil Nadu,15150.22,8.63
Infiltration Trench,26.46,Rajasthan,9291.4,20.07
Rainwater Barrel,31.77,Gujarat,4176.8,8.77
Infiltration Trench,30.0,Tamil Nadu,10000.03,10.58
Infiltration Trench,46.35,Karnataka,13269.77,8.18
Infiltration Trench,83.23,Maharashtra,20646.84,5.91
Recharge Pit,68.8,Delhi NCR,12319.83,7.46
Rainwater Barrel,10.32,Tamil Nadu,2031.79,8.75
Cistern,28.38,Punjab,12095.33,16.24
Recharge Well,16.89,Rajasthan,13066.53,38.68
Cistern,52.94,Rajasthan,18235.73,18.37
Rainwater Barrel,33.18,Tamil Nadu,4318.15,5.78
Recharge Well,44.84,Karnataka,21451.67,11.96
Rainwater Barrel,27.19,Delhi NCR,3719.24,6.84
Infiltration Trench,19.69,West Bengal,7938.8,7.68
Recharge Well,21.45,Punjab,14435.87,24.03
Infiltration Trench,15.39,Tamil Nadu,7077.31,14.6
Cistern,17.61,Tamil Nadu,9401.25,15.82
Cistern,15.84,Maharashtra,8961.25,12.57
Recharge Well,19.73,Rajasthan,13919.05,35.27
Recharge Well,19.18,Punjab,13753.96,25.61
Rainwater Barrel,40.33,Delhi NCR,5032.8,6.24
Rainwater Barrel,39.54,Rajasthan,4954.47,10.02
Infiltration Trench,40.31,Tamil Nadu,12061.21,9.5
Recharge Well,59.59,Rajasthan,25877.18,21.71
Cistern,31.84,Rajasthan,12960.86,21.71
Rainwater Barrel,22.41,Gujarat,3241.19,9.64
Rainwater Barrel,100.05,Rajasthan,11005.32,8.8
Cistern,52.08,Karnataka,18020.55,9.23
Rainwater Barrel,35.74,Rajasthan,4573.6,10.24
Infiltration Trench,34.52,West Bengal,10903.3,6.02
Recharge Well,38.28,Karnataka,19482.84,12.73
Cistern,29.93,Punjab,12483.16,15.89
Recharge Well,35.31,Rajasthan,18592.43,26.33
Rainwater Barrel,42.51,Delhi NCR,5250.79,6.18
Rainwater Barrel,23.03,Karnataka,3302.85,5.74
Cistern,14.63,Karnataka,8657.02,15.78
Infiltration Trench,11.73,Tamil Nadu,6346.07,17.17
Recharge Pit,51.62,Punjab,9743.31,8.99
Cistern,15.01,Rajasthan,8751.83,31.1
Recharge Pit,41.79,Maharashtra,8268.59,5.5
Recharge Pit,18.59,Delhi NCR,4789.05,10.73
Infiltration Trench,18.74,Tamil Nadu,7748.81,13.12
Recharge Pit,23.12,Punjab,5468.7,11.26
Recharge Pit,36.49,West Bengal,7473.65,4.55
Infiltration Trench,17.39,Karnataka,7477.34,12.29
Recharge Pit,24.33,Delhi NCR,5648.86,9.68
Recharge Pit,32.69,West Bengal,6903.85,4.69
Recharge Pit,18.08,Rajasthan,4712.17,17.37
Cistern,67.63,Maharashtra,21908.61,7.2
Cistern,14.0,Gujarat,8498.86,26.99
Cistern,29.69,Gujarat,12423.28,18.6
Infiltration Trench,62.57,Punjab,16513.8,10.77
Rainwater Barrel,17.08,Maharashtra,2707.76,5.29
Recharge Pit,31.35,Delhi NCR,6702.37,8.91
Recharge Pit,35.39,Tamil Nadu,7308.5,7.65
Infiltration Trench,22.12,Delhi NCR,8424.59,13.6
Recharge Pit,31.86,Maharashtra,6778.56,5.91
Cistern,43.85,West Bengal,15961.92,6.47
Rainwater Barrel,26.22,Karnataka,3621.76,5.53
Recharge Well,48.53,Gujarat,22558.75,19.37
Recharge Pit,40.3,Punjab,8045.08,9.51
Cistern,24.74,Rajasthan,11185.8,24.11
Recharge Well,58.19,Delhi NCR,25457.24,13.67
Rainwater Barrel,22.86,Gujarat,3286.33,9.58
Recharge Well,50.8,Tamil Nadu,23240.77,12.71
Cistern,23.07,Punjab,10767.26,17.78
Recharge Well,28.27,Rajasthan,16482.38,29.15
Infiltration Trench,30.53,Delhi NCR,10105.8,11.82
Recharge Well,39.22,Tamil Nadu,19767.23,14.0
Recharge Pit,10.0,Rajasthan,3500.0,23.33
Recharge Pit,41.64,Karnataka,8245.67,6.6
Infiltration Trench,31.46,Gujarat,10292.27,15.58
Cistern,38.2,Karnataka,14550.33,10.16
Recharge Pit,42.57,Gujarat,8386.1,10.94
Rainwater Barrel,40.32,Tamil Nadu,5032.23,5.55
Recharge Pit,12.14,West Bengal,3820.66,7.0
Recharge Pit,19.48,Karnataka,4922.31,8.42
Cistern,39.11,Gujarat,14777.79,16.79
Recharge Well,36.59,Punjab,18977.8,18.52
Recharge Pit,22.31,Tamil Nadu,5347.13,8.88
Infiltration Trench,47.89,Gujarat,13577.17,13.5
Recharge Well,29.13,Delhi NCR,16739.16,17.96
Rainwater Barrel,51.57,Gujarat,6156.6,7.96
Cistern,60.64,Karnataka,20160.85,8.87
Rainwater Barrel,38.06,Punjab,4805.95,7.22
Recharge Well,43.72,Rajasthan,21115.61,24.15
Recharge Well,24.43,West Bengal,15328.69,10.46
Recharge Well,51.73,Rajasthan,23520.04,22.73
Rainwater Barrel,36.93,Gujarat,4693.14,8.47
Recharge Well,28.58,Rajasthan,16573.46,29.0
Rainwater Barrel,18.0,Gujarat,2800.39,10.37
Recharge Well,25.98,Punjab,15793.63,21.71
Infiltration Trench,19.02,Rajasthan,7803.13,23.45
Recharge Well,48.46,Karnataka,22538.09,11.63
Rainwater Barrel,60.96,Karnataka,7095.98,4.66
Recharge Pit,52.36,Delhi NCR,9853.93,7.84
Recharge Well,114.78,Gujarat,42433.75,15.4
Recharge Pit,26.31,Rajasthan,5945.9,15.07
Infiltration Trench,44.62,Karnataka,12924.93,8.28
Cistern,18.34,Maharashtra,9586.09,11.61
Infiltration Trench,30.01,Punjab,10001.06,13.6
Recharge Well,15.82,West Bengal,12746.24,13.43
Recharge Pit,44.0,Punjab,8599.39,9.31
Recharge Pit,27.72,Maharashtra,6158.42,6.17
Rainwater Barrel,11.85,Maharashtra,2185.45,6.15
Recharge Pit,23.51,Delhi NCR,5526.73,9.79
Rainwater Barrel,81.17,Punjab,9117.09,6.42
Cistern,40.66,Punjab,15164.7,14.21
Recharge Well,48.64,Rajasthan,22593.46,23.22
Rainwater Barrel,35.26,Gujarat,4526.08,8.56
Cistern,30.24,Tamil Nadu,12560.42,12.31
Recharge Pit,33.37,West Bengal,7006.16,4.67
Recharge Pit,37.44,Punjab,7615.87,9.69
Cistern,19.14,West Bengal,9784.49,9.09
Recharge Pit,48.5,West Bengal,9274.76,4.25
Cistern,58.03,West Bengal,19506.83,5.98
Rainwater Barrel,30.02,Punjab,4001.52,7.62
Rainwater Barrel,25.49,Tamil Nadu,3549.49,6.19
Cistern,22.85,Punjab,10713.04,17.86
Rainwater Barrel,79.81,Rajasthan,8980.68,9.0
Rainwater Barrel,26.41,Rajasthan,3641.32,11.03
Rainwater Barrel,45.91,Tamil Nadu,5590.88,5.41
Infiltration Trench,30.12,Karnataka,10024.14,9.51
Recharge Well,29.32,Punjab,16795.25,20.46
Recharge Pit,22.59,Karnataka,5388.9,7.95
Infiltration Trench,20.39,West Bengal,8077.21,7.55
Rainwater Barrel,47.94,Punjab,5794.05,6.91
Cistern,20.16,Gujarat,10039.19,22.14
Rainwater Barrel,41.73,Punjab,5173.16,7.08
Recharge Well,34.65,Rajasthan,18394.94,26.54
Rainwater Barrel,48.25,Delhi NCR,5824.63,6.04
Cistern,24.41,Maharashtra,11102.68,10.11
Recharge Well,56.83,Delhi NCR,25049.13,13.77
Rainwater Barrel,30.86,Delhi NCR,4085.83,6.62
Recharge Well,121.01,Delhi NCR,44302.06,11.44
Recharge Pit,14.77,Maharashtra,4216.2,7.93
Recharge Pit,111.55,Karnataka,18732.41,5.6
Rainwater Barrel,31.09,Maharashtra,4108.78,4.41
Recharge Well,37.02,Karnataka,19105.36,12.9
Cistern,24.48,Maharashtra,11119.99,10.09
Rainwater Barrel,15.11,Maharashtra,2511.31,5.54
Recharge Pit,25.43,Punjab,5814.01,10.89
Recharge Pit,27.58,Karnataka,6137.27,7.42
Rainwater Barrel,36.28,Punjab,4628.49,7.29
Recharge Well,58.01,Gujarat,25402.2,18.25
Recharge Pit,36.43,Punjab,7464.35,9.76
Recharge Well,36.75,Delhi NCR,19024.26,16.18
Recharge Pit,40.13,Tamil Nadu,8019.86,7.4
Recharge Pit,13.77,Tamil Nadu,4065.59,10.93
Infiltration Trench,14.42,Rajasthan,6884.35,27.28
Recharge Pit,15.67,Rajasthan,4349.93,18.51
Cistern,27.48,West Bengal,11869.34,7.68
Rainwater Barrel,12.99,Punjab,2298.95,10.11
Rainwater Barrel,23.46,Maharashtra,3345.55,4.75
Recharge Well,16.71,Maharashtra,13012.34,16.23
Recharge Pit,42.26,Tamil Nadu,8339.11,7.31
Cistern,41.22,Delhi NCR,15304.01,12.38
Recharge Well,28.49,Karnataka,16548.07,14.52
Infiltration Trench,12.81,Delhi NCR,6561.47,18.3
Recharge Well,29.41,West Bengal,16823.82,9.53
Recharge Well,39.03,Delhi NCR,19708.79,15.78
Recharge Pit,49.67,Punjab,9450.22,9.06
Infiltration Trench,79.58,Punjab,19915.04,10.21
Recharge Well,57.93,Gujarat,25379.24,18.25
Cistern,35.96,West Bengal,13989.83,6.92
Cistern,28.71,Delhi NCR,12178.46,14.14
Rainwater Barrel,22.84,Maharashtra,3284.04,4.79
Infiltration Trench,65.22,Maharashtra,17044.84,6.22
Infiltration Trench,35.99,West Bengal,11198.39,5.93
Rainwater Barrel,45.39,Delhi NCR,5538.91,6.1
Recharge Well,24.65,Punjab,15395.84,22.3
Infiltration Trench,17.81,Punjab,7561.24,17.33
Cistern,27.11,Gujarat,11777.02,19.31
Cistern,28.46,Gujarat,12115.26,18.92
Recharge Pit,36.45,Rajasthan,7467.2,13.66
Infiltration Trench,22.9,West Bengal,8580.67,7.14
Recharge Well,33.53,Tamil Nadu,18059.45,14.96
Rainwater Barrel,59.67,Delhi NCR,6967.14,5.84
Rainwater Barrel,14.35,West Bengal,2434.67,4.53
Recharge Well,11.49,Maharashtra,11447.25,20.75
Recharge Pit,61.74,Delhi NCR,11261.23,7.6
Rainwater Barrel,15.93,Gujarat,2592.97,10.85
Infiltration Trench,27.38,Gujarat,9476.83,16.48
Recharge Pit,44.89,Rajasthan,8733.67,12.97
Infiltration Trench,32.15,Tamil Nadu,10429.84,10.3
Cistern,31.92,Rajasthan,12980.98,21.69
Recharge Pit,34.34,Maharashtra,7150.42,5.78
Rainwater Barrel,116.67,Tamil Nadu,12667.09,4.83
Recharge Pit,80.67,Karnataka,14099.84,5.83
Recharge Pit,23.41,Delhi NCR,5511.41,9.81
Recharge Pit,56.01,Rajasthan,10400.78,12.38
Recharge Pit,42.64,Gujarat,8395.75,10.94
Infiltration Trench,32.79,Rajasthan,10558.78,18.4
Cistern,21.03,Karnataka,10258.11,13.01
Recharge Well,41.5,Rajasthan,20449.88,24.64
Recharge Pit,28.42,Delhi NCR,6262.51,9.18
Rainwater Barrel,27.39,Karnataka,3739.11,5.46
Recharge Pit,22.57,West Bengal,5384.97,5.3
Rainwater Barrel,54.59,West Bengal,6459.33,3.16
Infiltration Trench,22.56,West Bengal,8511.79,7.19
Rainwater Barrel,22.63,Gujarat,3262.78,9.61
Recharge Well,48.86,Gujarat,22658.14,19.32
Cistern,30.81,West Bengal,12702.46,7.33
Rainwater Barrel,31.23,West Bengal,4122.72,3.52
Rainwater Barrel,55.5,West Bengal,6550.35,3.15
Cistern,63.87,Punjab,20967.51,12.51
Recharge Well,11.43,West Bengal,11428.44,16.67
Recharge Pit,31.05,Karnataka,6657.57,7.15
Rainwater Barrel,16.36,Punjab,2636.05,9.21
Cistern,27.29,Punjab,11823.07,16.5
Infiltration Trench,33.0,Delhi NCR,10600.82,11.47
Cistern,27.73,Rajasthan,11932.9,22.95
Infiltration Trench,19.83,Gujarat,7966.66,19.13
Recharge Well,19.34,Gujarat,13800.96,29.74
Recharge Pit,47.65,Rajasthan,9148.13,12.8
Cistern,71.34,Gujarat,22834.07,14.23
Rainwater Barrel,11.82,Rajasthan,2181.96,14.77
Recharge Well,28.11,Karnataka,16433.55,14.61
Cistern,47.75,Delhi NCR,16937.54,11.82
Rainwater Barrel,32.58,West Bengal,4258.0,3.49
Cistern,18.98,Delhi NCR,9743.91,17.12
Infiltration Trench,26.08,Maharashtra,9215.67,8.41
Cistern,38.52,Delhi NCR,14629.01,12.66
Cistern,28.4,Rajasthan,12100.11,22.72
Cistern,32.33,Maharashtra,13082.62,8.99
Recharge Well,32.8,Rajasthan,17839.91,27.2
Cistern,25.48,West Bengal,11369.78,7.93
Rainwater Barrel,49.81,Tamil Nadu,5981.34,5.34
Infiltration Trench,26.08,Maharashtra,9216.45,8.41
Infiltration Trench,20.03,West Bengal,8006.14,7.61
Cistern,100.97,West Bengal,30242.41,5.32
Recharge Well,31.85,Gujarat,17555.63,22.97
Recharge Well,10.0,Gujarat,11000.0,45.83
