open_space,roof_type,roof_age,runoff_coefficient,location,annual_rainfall,annual_harvestable_water
544,Tiled Roof,21,0.6905,Anantapur,560,199672
109,Stone Slabs,7,0.6945,Anantapur,560,40352
490,Lime-Finished Roofs,2,0.6375,Raichur,620,185389
335,Terracotta and Clay Tiles,27,0.7948,Shillong,2900,724824
589,Galvanized Iron Sheet,41,0.8557,Hisar,500,234097
554,Galvanized Iron Sheet,10,0.8628,Jaipur,650,294477
583,Ceramic Tiles,50,0.8103,Bathinda,420,180175
92,Stone Slabs,46,0.6966,Jaisalmer,210,12326
436,Concrete Roof,38,0.6409,Jaisalmer,210,54449
347,Galvanized Iron Sheet,23,0.8644,Mumbai,2250,635032
275,Stone Slabs,8,0.6879,Sambalpur,1400,251469
433,Concrete Roof,17,0.637,Sagar,1100,288572
214,Lime-Finished Roofs,21,0.6595,Mumbai,2250,299831
505,Asbestos Sheet,40,0.7468,Raichur,620,214457
66,Stone Slabs,42,0.7228,Chennai,1400,61239
367,Concrete Roof,22,0.6645,Ahmedabad,800,181374
369,Terracotta and Clay Tiles,6,0.8244,Pune,720,210873
238,Lime-Finished Roofs,15,0.6504,Shillong,2900,423180
432,Galvanized Iron Sheet,5,0.8486,Shillong,2900,1023924
518,Ceramic Tiles,43,0.7952,Raichur,620,233456
98,Ceramic Tiles,16,0.7961,Tezpur,1850,136504
73,Modern Composite Sheets,27,0.83,Sagar,1100,61716
562,Asbestos Sheet,22,0.7782,Pune,720,296967
66,Metal Roofs,32,0.834,Purnia,1350,69245
460,Galvanized Iron Sheet,41,0.8752,Pune,720,267250
253,Stone Slabs,49,0.7067,Chennai,1400,228461
165,Modern Composite Sheets,48,0.8296,Jaisalmer,210,26180
99,Ceramic Tiles,10,0.8166,Chennai,1400,107589
496,Tiled Roof,1,0.7151,Hisar,500,169550
478,Tiled Roof,44,0.6871,Purnia,1350,407200
221,Asbestos Sheet,11,0.7546,Anantapur,560,88384
249,Ceramic Tiles,36,0.809,Mumbai,2250,420373
70,Tiled Roof,29,0.7418,Bhopal,1150,55721
172,Metal Roofs,13,0.8572,Anantapur,560,78557
414,Metal Roofs,35,0.8835,Jaipur,650,221454
319,Concrete Roof,9,0.6609,Purnia,1350,272466
160,Asbestos Sheet,26,0.7571,Bhopal,1150,130881
98,Metal Roofs,35,0.8437,Pune,720,54715
256,Stone Slabs,22,0.7434,Delhi,780,138610
303,Metal Roofs,28,0.8604,Hisar,500,120703
315,Metal Roofs,26,0.8689,Bhopal,1150,294000
508,Metal Roofs,9,0.8462,Sambalpur,1400,574811
107,Galvanized Iron Sheet,31,0.8598,Sagar,1100,94998
63,Stone Slabs,12,0.6794,Anantapur,560,22852
247,Concrete Roof,42,0.6153,Wardha,1060,147249
91,Galvanized Iron Sheet,41,0.8613,Hyderabad,800,58272
319,Concrete Roof,40,0.6623,Lucknow,1000,195002
61,Modern Composite Sheets,4,0.8247,Bathinda,420,20075
438,Galvanized Iron Sheet,29,0.8471,Bhopal,1150,393888
414,Asbestos Sheet,46,0.7619,Raichur,620,178294
361,Lime-Finished Roofs,3,0.6331,Bathinda,420,92261
404,Lime-Finished Roofs,49,0.6959,Delhi,780,200289
287,Stone Slabs,22,0.7064,Sagar,1100,207636
59,Galvanized Iron Sheet,14,0.8339,Purnia,1350,63181
122,Galvanized Iron Sheet,50,0.8493,Kolkata,1800,170852
331,Terracotta and Clay Tiles,15,0.8442,Jaipur,650,170709
285,Modern Composite Sheets,32,0.8169,Patna,1200,260515
180,Ceramic Tiles,8,0.8346,Lucknow,1000,144162
80,Ceramic Tiles,50,0.8163,Bhopal,1150,68447
539,Asbestos Sheet,41,0.7482,Purnia,1350,499304
519,Ceramic Tiles,6,0.8522,Jaipur,650,274669
386,Galvanized Iron Sheet,10,0.849,Raichur,620,192255
519,Stone Slabs,5,0.6999,Tezpur,1850,647178
412,Asbestos Sheet,43,0.7637,Bengaluru,970,281968
147,Galvanized Iron Sheet,7,0.871,Pune,720,87060
79,Lime-Finished Roofs,15,0.6412,Hisar,500,23935
387,Lime-Finished Roofs,38,0.6519,Kolkata,1800,421471
590,Stone Slabs,32,0.7048,Wardha,1060,409824
540,Stone Slabs,26,0.7217,Ahmedabad,800,291305
335,Stone Slabs,5,0.7389,Lucknow,1000,238790
258,Ceramic Tiles,32,0.7797,Anantapur,560,104578
328,Metal Roofs,43,0.8532,Wardha,1060,270117
274,Metal Roofs,33,0.8691,Shillong,2900,646125
466,Concrete Roof,47,0.6659,Pune,720,203307
69,Metal Roofs,31,0.8615,Purnia,1350,74580
381,Asbestos Sheet,34,0.7582,Lucknow,1000,266667
43,Tiled Roof,15,0.7064,Sagar,1100,31488
286,Metal Roofs,50,0.8835,Hyderabad,800,185371
559,Asbestos Sheet,21,0.7537,Purnia,1350,530324
365,Galvanized Iron Sheet,42,0.8901,Pune,720,216883
207,Concrete Roof,42,0.6342,Purnia,1350,161951
169,Tiled Roof,42,0.6847,Bathinda,420,44913
427,Modern Composite Sheets,29,0.8283,Lucknow,1000,327382
294,Stone Slabs,17,0.6874,Mumbai,2250,427299
64,Modern Composite Sheets,22,0.816,Delhi,780,38196
462,Modern Composite Sheets,18,0.8388,Ahmedabad,800,293359
370,Ceramic Tiles,50,0.8033,Shillong,2900,777905
227,Metal Roofs,31,0.833,Tezpur,1850,322671
129,Lime-Finished Roofs,42,0.6688,Mumbai,2250,176948
419,Terracotta and Clay Tiles,9,0.799,Hyderabad,800,254095
528,Tiled Roof,24,0.7174,Hisar,500,176594
252,Galvanized Iron Sheet,49,0.8709,Patna,1200,241262
109,Metal Roofs,25,0.8624,Jaipur,650,57448
387,Concrete Roof,30,0.6614,Mumbai,2250,536252
383,Tiled Roof,41,0.6935,Hyderabad,800,194134
215,Terracotta and Clay Tiles,3,0.8266,Kolkata,1800,304405
198,Asbestos Sheet,26,0.7625,Ahmedabad,800,113847
551,Metal Roofs,20,0.8357,Tezpur,1850,803625
119,Metal Roofs,37,0.8592,Shillong,2900,272223
328,Tiled Roof,39,0.7194,Hyderabad,800,175283
569,Asbestos Sheet,18,0.7738,Ahmedabad,800,335141
416,Terracotta and Clay Tiles,11,0.7913,Bathinda,420,131223
270,Ceramic Tiles,43,0.7989,Jaisalmer,210,41428
528,Terracotta and Clay Tiles,1,0.7765,Hisar,500,195570
429,Metal Roofs,44,0.8594,Shillong,2900,982648
267,Terracotta and Clay Tiles,24,0.8129,Pune,720,147394
128,Metal Roofs,34,0.8461,Mumbai,2250,225362
485,Galvanized Iron Sheet,23,0.8525,Hisar,500,193943
447,Modern Composite Sheets,25,0.8288,Sambalpur,1400,486618
364,Metal Roofs,7,0.8403,Purnia,1350,392688
273,Concrete Roof,8,0.6274,Jaisalmer,210,34088
336,Asbestos Sheet,29,0.7409,Bathinda,420,97978
449,Ceramic Tiles,27,0.7972,Chennai,1400,471787
43,Galvanized Iron Sheet,18,0.8626,Patna,1200,41699
512,Tiled Roof,50,0.7202,Ahmedabad,800,269112
540,Galvanized Iron Sheet,7,0.8139,Bathinda,420,177169
52,Terracotta and Clay Tiles,17,0.7962,Anantapur,560,21899
255,Galvanized Iron Sheet,36,0.8457,Mumbai,2250,452647
164,Asbestos Sheet,47,0.7583,Chennai,1400,160561
146,Galvanized Iron Sheet,30,0.8339,Hisar,500,56202
167,Modern Composite Sheets,2,0.8202,Bathinda,420,55369
452,Terracotta and Clay Tiles,24,0.8194,Kolkata,1800,621957
438,Metal Roofs,26,0.8701,Jaipur,650,233057
510,Tiled Roof,13,0.7128,Delhi,780,266637
48,Modern Composite Sheets,25,0.848,Hyderabad,800,30668
200,Modern Composite Sheets,22,0.8283,Hisar,500,77133
436,Concrete Roof,28,0.6874,Bhopal,1150,324064
540,Asbestos Sheet,43,0.7892,Ahmedabad,800,310103
321,Modern Composite Sheets,27,0.8183,Sambalpur,1400,340255
304,Metal Roofs,29,0.8579,Patna,1200,293119
248,Concrete Roof,46,0.6541,Tezpur,1850,273799
484,Concrete Roof,7,0.6546,Pune,720,215832
253,Concrete Roof,27,0.6797,Hyderabad,800,128808
461,Asbestos Sheet,3,0.7523,Hyderabad,800,264021
414,Ceramic Tiles,7,0.8083,Jaisalmer,210,67421
130,Tiled Roof,49,0.6843,Chennai,1400,112599
581,Asbestos Sheet,41,0.785,Bhopal,1150,481834
92,Tiled Roof,39,0.7205,Pune,720,43566
156,Lime-Finished Roofs,17,0.6528,Patna,1200,114544
380,Galvanized Iron Sheet,30,0.856,Delhi,780,238319
225,Asbestos Sheet,33,0.7664,Lucknow,1000,158409
375,Asbestos Sheet,12,0.7566,Hisar,500,134947
130,Metal Roofs,29,0.8671,Bhopal,1150,120095
314,Ceramic Tiles,11,0.8118,Wardha,1060,257130
557,Tiled Roof,24,0.6927,Wardha,1060,382996
202,Concrete Roof,34,0.6359,Anantapur,560,66449
232,Galvanized Iron Sheet,3,0.8621,Bathinda,420,80685
310,Galvanized Iron Sheet,43,0.8875,Ahmedabad,800,203213
279,Galvanized Iron Sheet,34,0.8407,Raichur,620,134371
561,Galvanized Iron Sheet,47,0.8176,Hisar,500,209258
242,Concrete Roof,8,0.6543,Lucknow,1000,151522
586,Modern Composite Sheets,49,0.8531,Gorakhpur,1250,571344
68,Modern Composite Sheets,17,0.8469,Chennai,1400,75795
562,Stone Slabs,39,0.6773,Shillong,2900,1020746
568,Stone Slabs,44,0.7041,Bengaluru,970,356319
591,Asbestos Sheet,32,0.7263,Purnia,1350,540347
96,Asbestos Sheet,35,0.7616,Shillong,2900,197866
114,Modern Composite Sheets,9,0.8652,Gorakhpur,1250,117281
499,Lime-Finished Roofs,39,0.6515,Chennai,1400,419930
504,Metal Roofs,6,0.8678,Purnia,1350,568082
314,Terracotta and Clay Tiles,41,0.8088,Kolkata,1800,424002
298,Lime-Finished Roofs,24,0.6559,Bengaluru,970,177198
176,Metal Roofs,8,0.8725,Pune,720,104384
437,Tiled Roof,3,0.6956,Raichur,620,178888
343,Metal Roofs,44,0.8514,Anantapur,560,149335
276,Concrete Roof,5,0.6671,Purnia,1350,236549
464,Metal Roofs,24,0.8385,Raichur,620,225088
180,Lime-Finished Roofs,33,0.6677,Lucknow,1000,112428
105,Concrete Roof,39,0.6317,Wardha,1060,64460
465,Galvanized Iron Sheet,42,0.8586,Patna,1200,437321
540,Modern Composite Sheets,19,0.8205,Purnia,1350,559621
57,Stone Slabs,9,0.7227,Sagar,1100,43154
586,Terracotta and Clay Tiles,22,0.8178,Hisar,500,223966
477,Ceramic Tiles,10,0.8199,Chennai,1400,519307
219,Ceramic Tiles,46,0.8053,Pune,720,117007
113,Metal Roofs,32,0.8615,Kolkata,1800,163420
266,Tiled Roof,7,0.6992,Bathinda,420,74305
391,Tiled Roof,1,0.7278,Chennai,1400,378968
228,Metal Roofs,27,0.8527,Shillong,2900,528171
259,Tiled Roof,30,0.7124,Jaipur,650,110813
125,Ceramic Tiles,38,0.8219,Wardha,1060,100002
355,Metal Roofs,45,0.8234,Shillong,2900,777143
520,Concrete Roof,43,0.655,Bengaluru,970,305961
459,Terracotta and Clay Tiles,28,0.8214,Sambalpur,1400,494630
199,Modern Composite Sheets,45,0.8044,Shillong,2900,422506
161,Asbestos Sheet,10,0.7773,Patna,1200,141749
70,Metal Roofs,30,0.8661,Ahmedabad,800,45150
329,Lime-Finished Roofs,45,0.6537,Lucknow,1000,195443
237,Tiled Roof,4,0.6907,Patna,1200,186076
551,Lime-Finished Roofs,7,0.6542,Anantapur,560,192751
437,Metal Roofs,38,0.8486,Sagar,1100,378633
511,Metal Roofs,5,0.8453,Sambalpur,1400,579269
306,Tiled Roof,24,0.7261,Delhi,780,162848
357,Tiled Roof,42,0.7045,Jaisalmer,210,48578
58,Ceramic Tiles,22,0.7779,Jaisalmer,210,8887
551,Asbestos Sheet,13,0.7711,Hyderabad,800,322959
179,Galvanized Iron Sheet,6,0.8501,Pune,720,105397
61,Tiled Roof,22,0.7083,Bathinda,420,17010
90,Ceramic Tiles,6,0.8056,Bathinda,420,28869
217,Terracotta and Clay Tiles,16,0.8361,Hyderabad,800,137230
599,Metal Roofs,14,0.8546,Jaisalmer,210,101407
534,Metal Roofs,9,0.8023,Bathinda,420,172295
598,Metal Roofs,40,0.8431,Chennai,1400,656294
357,Ceramic Tiles,9,0.8062,Purnia,1350,371796
268,Galvanized Iron Sheet,23,0.8264,Sambalpur,1400,289508
52,Stone Slabs,31,0.7052,Bhopal,1150,39196
496,Ceramic Tiles,16,0.8174,Mumbai,2250,864340
562,Modern Composite Sheets,48,0.8513,Jaisalmer,210,92037
431,Galvanized Iron Sheet,2,0.8577,Sagar,1100,386119
499,Asbestos Sheet,17,0.7732,Ahmedabad,800,292800
220,Metal Roofs,44,0.839,Hyderabad,800,135765
122,Tiled Roof,9,0.6946,Shillong,2900,232591
303,Tiled Roof,12,0.7011,Jaisalmer,210,41970
426,Terracotta and Clay Tiles,48,0.792,Shillong,2900,899239
60,Terracotta and Clay Tiles,25,0.8264,Ahmedabad,800,36746
76,Terracotta and Clay Tiles,25,0.7816,Sagar,1100,61088
213,Concrete Roof,6,0.6516,Delhi,780,103793
83,Asbestos Sheet,17,0.7533,Delhi,780,45657
56,Asbestos Sheet,7,0.7952,Mumbai,2250,96359
354,Modern Composite Sheets,23,0.8102,Bathinda,420,113627
271,Stone Slabs,42,0.7281,Patna,1200,218607
161,Ceramic Tiles,25,0.7896,Bhopal,1150,136424
340,Modern Composite Sheets,14,0.8305,Purnia,1350,361016
99,Concrete Roof,17,0.677,Sagar,1100,69417
159,Stone Slabs,41,0.6863,Gorakhpur,1250,124326
572,Galvanized Iron Sheet,23,0.8225,Sagar,1100,485052
464,Terracotta and Clay Tiles,20,0.7955,Shillong,2900,1014114
157,Metal Roofs,49,0.8639,Hyderabad,800,99390
439,Tiled Roof,46,0.7038,Patna,1200,337894
160,Asbestos Sheet,30,0.7572,Pune,720,80970
401,Tiled Roof,24,0.6739,Purnia,1350,344176
163,Terracotta and Clay Tiles,25,0.8045,Pune,720,89170
98,Galvanized Iron Sheet,47,0.8654,Jaipur,650,50485
234,Terracotta and Clay Tiles,30,0.7975,Gorakhpur,1250,217570
318,Concrete Roof,11,0.6772,Lucknow,1000,202730
497,Galvanized Iron Sheet,36,0.8663,Mumbai,2250,887954
211,Stone Slabs,8,0.7079,Delhi,780,111860
185,Asbestos Sheet,25,0.7385,Purnia,1350,171272
57,Modern Composite Sheets,47,0.8341,Kolkata,1800,78552
174,Modern Composite Sheets,27,0.7994,Sagar,1100,142272
142,Lime-Finished Roofs,26,0.6373,Pune,720,60680
458,Metal Roofs,37,0.8199,Shillong,2900,1007505
464,Stone Slabs,6,0.6954,Bengaluru,970,300946
77,Modern Composite Sheets,30,0.8347,Jaisalmer,210,12603
543,Galvanized Iron Sheet,47,0.8774,Kolkata,1800,786748
372,Stone Slabs,47,0.6996,Purnia,1350,318965
263,Ceramic Tiles,18,0.8104,Raichur,620,124180
504,Tiled Roof,46,0.6794,Jaisalmer,210,66005
120,Terracotta and Clay Tiles,37,0.8164,Lucknow,1000,90904
249,Metal Roofs,18,0.8598,Patna,1200,243754
142,Tiled Roof,48,0.72,Patna,1200,112142
487,Modern Composite Sheets,2,0.8206,Hisar,500,192578
57,Tiled Roof,42,0.6849,Raichur,620,22169
417,Concrete Roof,39,0.657,Bhopal,1150,288430
393,Metal Roofs,7,0.8725,Mumbai,2250,735893
153,Modern Composite Sheets,37,0.8148,Anantapur,560,63916
384,Modern Composite Sheets,1,0.8429,Delhi,780,242105
430,Concrete Roof,12,0.68,Patna,1200,333102
333,Galvanized Iron Sheet,30,0.8512,Jaipur,650,173125
582,Lime-Finished Roofs,41,0.6379,Sagar,1100,378704
64,Asbestos Sheet,41,0.7737,Hyderabad,800,36291
552,Lime-Finished Roofs,26,0.6894,Shillong,2900,1024564
269,Concrete Roof,16,0.6722,Purnia,1350,232507
267,Lime-Finished Roofs,28,0.667,Mumbai,2250,374397
587,Terracotta and Clay Tiles,17,0.8211,Kolkata,1800,826875
112,Stone Slabs,31,0.6834,Jaisalmer,210,14811
420,Ceramic Tiles,17,0.7778,Hisar,500,152760
50,Galvanized Iron Sheet,12,0.8538,Mumbai,2250,90276
174,Stone Slabs,22,0.703,Ahmedabad,800,91922
186,Terracotta and Clay Tiles,6,0.8142,Bengaluru,970,141342
146,Metal Roofs,23,0.8735,Lucknow,1000,118752
569,Lime-Finished Roofs,48,0.6325,Chennai,1400,463662
581,Modern Composite Sheets,12,0.8392,Pune,720,331448
507,Galvanized Iron Sheet,32,0.8665,Mumbai,2250,914613
251,Terracotta and Clay Tiles,19,0.8034,Bathinda,420,80485
53,Ceramic Tiles,30,0.8163,Patna,1200,48124
339,Modern Composite Sheets,8,0.8398,Sambalpur,1400,380958
539,Modern Composite Sheets,2,0.8249,Hyderabad,800,343854
580,Terracotta and Clay Tiles,8,0.8109,Kolkata,1800,811923
210,Asbestos Sheet,24,0.7301,Sagar,1100,157459
489,Stone Slabs,25,0.6872,Gorakhpur,1250,392223
80,Galvanized Iron Sheet,5,0.8545,Kolkata,1800,117303
244,Ceramic Tiles,29,0.8085,Jaisalmer,210,38258
177,Asbestos Sheet,28,0.7751,Mumbai,2250,289115
152,Terracotta and Clay Tiles,18,0.7661,Jaisalmer,210,22969
271,Modern Composite Sheets,17,0.7902,Gorakhpur,1250,253894
263,Modern Composite Sheets,23,0.841,Hyderabad,800,166750
52,Modern Composite Sheets,47,0.8299,Pune,720,28188
145,Lime-Finished Roofs,20,0.6714,Lucknow,1000,90745
556,Ceramic Tiles,31,0.8193,Mumbai,2250,961289
339,Terracotta and Clay Tiles,1,0.7774,Shillong,2900,737438
136,Concrete Roof,6,0.6469,Pune,720,60452
566,Metal Roofs,31,0.837,Sambalpur,1400,622696
376,Ceramic Tiles,25,0.8372,Jaipur,650,191667
224,Metal Roofs,11,0.8415,Jaisalmer,210,37864
508,Concrete Roof,19,0.6445,Raichur,620,189480
383,Galvanized Iron Sheet,1,0.8631,Ahmedabad,800,253492
198,Stone Slabs,42,0.6838,Gorakhpur,1250,154419
598,Galvanized Iron Sheet,24,0.8447,Anantapur,560,266357
112,Stone Slabs,29,0.71,Lucknow,1000,74279
228,Concrete Roof,11,0.6527,Shillong,2900,412764
594,Modern Composite Sheets,39,0.7996,Shillong,2900,1280026
125,Stone Slabs,8,0.6883,Shillong,2900,239253
101,Ceramic Tiles,7,0.7916,Sagar,1100,84008
47,Metal Roofs,28,0.8382,Sagar,1100,40574
47,Metal Roofs,21,0.859,Bathinda,420,16063
520,Metal Roofs,32,0.8584,Bhopal,1150,472265
177,Ceramic Tiles,6,0.8371,Patna,1200,169927
415,Metal Roofs,17,0.8099,Wardha,1060,334158
252,Lime-Finished Roofs,41,0.6529,Pune,720,108450
270,Metal Roofs,49,0.8583,Purnia,1350,287063
377,Asbestos Sheet,15,0.7811,Raichur,620,174143
461,Concrete Roof,31,0.6866,Delhi,780,228775
349,Tiled Roof,38,0.7037,Sambalpur,1400,315332
51,Tiled Roof,8,0.721,Hyderabad,800,27743
568,Lime-Finished Roofs,11,0.6564,Bengaluru,970,342416
211,Modern Composite Sheets,48,0.8269,Ahmedabad,800,126858
262,Asbestos Sheet,3,0.7742,Hisar,500,97494
430,Terracotta and Clay Tiles,43,0.8019,Tezpur,1850,585706
40,Asbestos Sheet,30,0.7371,Tezpur,1850,50859
290,Concrete Roof,29,0.6587,Shillong,2900,516198
590,Modern Composite Sheets,48,0.8197,Tezpur,1850,816363
314,Galvanized Iron Sheet,47,0.8497,Tezpur,1850,452378
456,Tiled Roof,44,0.7091,Patna,1200,358915
372,Ceramic Tiles,4,0.8069,Chennai,1400,399210
88,Tiled Roof,21,0.6951,Jaipur,650,37465
508,Asbestos Sheet,47,0.7648,Ahmedabad,800,281473
496,Metal Roofs,33,0.8515,Bhopal,1150,450774
253,Concrete Roof,43,0.6395,Jaisalmer,210,31011
418,Lime-Finished Roofs,45,0.6479,Jaisalmer,210,51623
127,Concrete Roof,37,0.6702,Chennai,1400,109415
218,Lime-Finished Roofs,13,0.6521,Wardha,1060,144089
325,Galvanized Iron Sheet,44,0.8273,Tezpur,1850,457807
96,Galvanized Iron Sheet,10,0.8805,Chennai,1400,111597
569,Terracotta and Clay Tiles,39,0.8228,Ahmedabad,800,342804
103,Stone Slabs,19,0.6927,Gorakhpur,1250,83741
356,Lime-Finished Roofs,46,0.6521,Delhi,780,166443
173,Terracotta and Clay Tiles,18,0.7972,Raichur,620,81194
137,Asbestos Sheet,27,0.7789,Hyderabad,800,79696
318,Modern Composite Sheets,22,0.8405,Lucknow,1000,250013
524,Asbestos Sheet,8,0.7687,Wardha,1060,407336
547,Stone Slabs,46,0.7039,Ahmedabad,800,280858
361,Galvanized Iron Sheet,50,0.8136,Gorakhpur,1250,335735
360,Metal Roofs,6,0.8568,Sambalpur,1400,413768
410,Terracotta and Clay Tiles,7,0.7841,Sambalpur,1400,428154
156,Lime-Finished Roofs,18,0.6583,Sambalpur,1400,135284
162,Stone Slabs,44,0.6904,Anantapur,560,56993
111,Tiled Roof,19,0.7083,Sagar,1100,82113
118,Modern Composite Sheets,23,0.8232,Ahmedabad,800,73279
526,Modern Composite Sheets,19,0.8433,Bhopal,1150,477025
189,Terracotta and Clay Tiles,39,0.7863,Raichur,620,85139
349,Asbestos Sheet,34,0.7726,Mumbai,2250,563200
291,Metal Roofs,45,0.8481,Jaisalmer,210,47631
233,Stone Slabs,45,0.6996,Raichur,620,92674
566,Modern Composite Sheets,34,0.8484,Patna,1200,539219
65,Metal Roofs,17,0.8262,Jaisalmer,210,10577
455,Galvanized Iron Sheet,20,0.8913,Chennai,1400,536631
410,Stone Slabs,4,0.7161,Bhopal,1150,320094
212,Stone Slabs,4,0.6787,Hisar,500,69190
363,Asbestos Sheet,4,0.7661,Tezpur,1850,492811
120,Tiled Roof,27,0.7066,Sagar,1100,86817
97,Modern Composite Sheets,33,0.8369,Purnia,1350,101931
236,Metal Roofs,21,0.8626,Tezpur,1850,354781
494,Tiled Roof,15,0.7315,Pune,720,245383
428,Ceramic Tiles,19,0.7999,Kolkata,1800,583217
167,Metal Roofs,25,0.8422,Shillong,2900,378689
589,Terracotta and Clay Tiles,12,0.808,Lucknow,1000,452619
568,Galvanized Iron Sheet,38,0.8831,Ahmedabad,800,369935
398,Tiled Roof,1,0.7115,Sambalpur,1400,377629
144,Asbestos Sheet,2,0.7678,Kolkata,1800,188915
425,Modern Composite Sheets,7,0.8525,Chennai,1400,481954
293,Stone Slabs,9,0.6884,Jaisalmer,210,40652
316,Ceramic Tiles,1,0.8308,Anantapur,560,141180
193,Terracotta and Clay Tiles,20,0.8003,Sambalpur,1400,202409
341,Tiled Roof,13,0.6952,Bhopal,1150,258719
42,Concrete Roof,30,0.6405,Hyderabad,800,20208
188,Stone Slabs,31,0.7262,Lucknow,1000,126000
196,Lime-Finished Roofs,43,0.6125,Purnia,1350,150311
548,Lime-Finished Roofs,42,0.6401,Anantapur,560,182054
324,Terracotta and Clay Tiles,34,0.7679,Bathinda,420,96585
598,Terracotta and Clay Tiles,8,0.836,Pune,720,344495
539,Stone Slabs,24,0.7326,Jaipur,650,238816
343,Galvanized Iron Sheet,50,0.8738,Jaipur,650,178021
69,Metal Roofs,21,0.8392,Gorakhpur,1250,67468
140,Ceramic Tiles,41,0.8395,Pune,720,77666
408,Ceramic Tiles,37,0.8373,Lucknow,1000,318309
49,Stone Slabs,9,0.7173,Lucknow,1000,33315
81,Lime-Finished Roofs,7,0.6868,Bengaluru,970,51228
375,Lime-Finished Roofs,1,0.6283,Hisar,500,113981
139,Stone Slabs,13,0.7179,Delhi,780,73773
364,Metal Roofs,2,0.9075,Delhi,780,248784
584,Galvanized Iron Sheet,21,0.8609,Anantapur,560,264790
464,Modern Composite Sheets,9,0.8147,Sagar,1100,395783
162,Stone Slabs,38,0.6798,Gorakhpur,1250,126377
285,Metal Roofs,31,0.8496,Delhi,780,175683
308,Galvanized Iron Sheet,12,0.8472,Jaipur,650,161434
498,Stone Slabs,50,0.7197,Ahmedabad,800,259645
438,Modern Composite Sheets,10,0.8452,Bhopal,1150,401305
371,Concrete Roof,13,0.6769,Hyderabad,800,189258
182,Tiled Roof,9,0.7176,Delhi,780,96525
241,Tiled Roof,41,0.6826,Anantapur,560,84997
191,Lime-Finished Roofs,49,0.6464,Sambalpur,1400,158951
43,Lime-Finished Roofs,8,0.656,Bathinda,420,11254
189,Tiled Roof,35,0.7303,Bhopal,1150,145945
242,Asbestos Sheet,4,0.7716,Jaipur,650,116511
227,Galvanized Iron Sheet,36,0.8378,Kolkata,1800,316631
