roof_type,roof_age,region,location,runoff_coefficient
Modern Composite Sheets,19,Urban,Bhopal,0.8433
Terracotta and Clay Tiles,39,Rural,Raichur,0.7863
Asbestos Sheet,34,Urban,Mumbai,0.7726
Metal Roofs,45,Rural,Jaisalmer,0.8481
Stone Slabs,45,Rural,Raichur,0.6996
Modern Composite Sheets,34,Urban,Patna,0.8484
Metal Roofs,17,Rural,Jaisalmer,0.8262
Galvanized Iron Sheet,20,Urban,Chennai,0.8913
Stone Slabs,4,Urban,Bhopal,0.7161
Stone Slabs,4,Rural,Hisar,0.6787
Asbestos Sheet,4,Rural,Tezpur,0.7661
Tiled Roof,27,Rural,Sagar,0.7066
Modern Composite Sheets,33,Rural,Purnia,0.8369
Metal Roofs,21,Rural,Tezpur,0.8626
Tiled Roof,15,Urban,Pune,0.7315
Ceramic Tiles,19,Urban,Kolkata,0.7999
Metal Roofs,25,Rural,Shillong,0.8422
Terracotta and Clay Tiles,12,Urban,Lucknow,0.808
Galvanized Iron Sheet,38,Urban,Ahmedabad,0.8831
Tiled Roof,1,Rural,Sambalpur,0.7115
Asbestos Sheet,2,Urban,Kolkata,0.7678
Modern Composite Sheets,7,Urban,Chennai,0.8525
Stone Slabs,9,Rural,Jaisalmer,0.6884
Ceramic Tiles,1,Rural,Anantapur,0.8308
Terracotta and Clay Tiles,20,Rural,Sambalpur,0.8003
Tiled Roof,13,Urban,Bhopal,0.6952
Concrete Roof,30,Urban,Hyderabad,0.6405
Stone Slabs,31,Urban,Lucknow,0.7262
Lime-Finished Roofs,43,Rural,Purnia,0.6125
Lime-Finished Roofs,42,Rural,Anantapur,0.6401
Terracotta and Clay Tiles,34,Rural,Bathinda,0.7679
Terracotta and Clay Tiles,8,Urban,Pune,0.836
Stone Slabs,24,Urban,Jaipur,0.7326
Galvanized Iron Sheet,50,Urban,Jaipur,0.8738
Metal Roofs,21,Rural,Gorakhpur,0.8392
Ceramic Tiles,41,Urban,Pune,0.8395
Ceramic Tiles,37,Urban,Lucknow,0.8373
Stone Slabs,9,Urban,Lucknow,0.7173
Lime-Finished Roofs,7,Urban,Bengaluru,0.6868
Lime-Finished Roofs,1,Rural,Hisar,0.6283
Stone Slabs,13,Urban,Delhi,0.7179
Metal Roofs,2,Urban,Delhi,0.9075
Galvanized Iron Sheet,21,Rural,Anantapur,0.8609
Modern Composite Sheets,9,Rural,Sagar,0.8147
Stone Slabs,38,Rural,Gorakhpur,0.6798
Metal Roofs,31,Urban,Delhi,0.8496
Galvanized Iron Sheet,12,Urban,Jaipur,0.8472
Stone Slabs,50,Urban,Ahmedabad,0.7197
Modern Composite Sheets,10,Urban,Bhopal,0.8452
Concrete Roof,13,Urban,Hyderabad,0.6769
Tiled Roof,9,Urban,Delhi,0.7176
Tiled Roof,41,Rural,Anantapur,0.6826
Lime-Finished Roofs,49,Rural,Sambalpur,0.6464
Lime-Finished Roofs,8,Rural,Bathinda,0.656
Tiled Roof,35,Urban,Bhopal,0.7303
Asbestos Sheet,4,Urban,Jaipur,0.7716
Galvanized Iron Sheet,36,Urban,Kolkata,0.8378
Terracotta and Clay Tiles,44,Urban,Chennai,0.8063
Galvanized Iron Sheet,45,Rural,Jaisalmer,0.8454
Tiled Roof,17,Urban,Ahmedabad,0.7274
Modern Composite Sheets,19,Rural,Tezpur,0.8324
Asbestos Sheet,18,Rural,Raichur,0.7589
Concrete Roof,8,Urban,Kolkata,0.6597
Concrete Roof,18,Urban,Jaipur,0.6687
Metal Roofs,5,Rural,Anantapur,0.8631
Galvanized Iron Sheet,8,Urban,Bengaluru,0.857
Tiled Roof,3,Rural,Jaisalmer,0.685
Modern Composite Sheets,38,Urban,Patna,0.8439
Terracotta and Clay Tiles,31,Rural,Sambalpur,0.7781
Concrete Roof,8,Rural,Jaisalmer,0.6205
Tiled Roof,3,Rural,Shillong,0.71
Terracotta and Clay Tiles,43,Rural,Purnia,0.7735
Ceramic Tiles,18,Rural,Shillong,0.8046
Galvanized Iron Sheet,26,Urban,Hyderabad,0.8678
Modern Composite Sheets,27,Rural,Anantapur,0.8294
Concrete Roof,38,Rural,Tezpur,0.6461
Lime-Finished Roofs,37,Rural,Hisar,0.6555
Metal Roofs,5,Rural,Anantapur,0.8571
Concrete Roof,14,Urban,Hyderabad,0.6957
Metal Roofs,27,Urban,Bengaluru,0.8794
Stone Slabs,22,Rural,Shillong,0.6716
Metal Roofs,23,Rural,Purnia,0.8513
Metal Roofs,29,Rural,Gorakhpur,0.8372
Ceramic Tiles,18,Rural,Shillong,0.7771
Stone Slabs,27,Urban,Kolkata,0.7134
Galvanized Iron Sheet,11,Rural,Anantapur,0.8357
Galvanized Iron Sheet,4,Urban,Bengaluru,0.8736
Galvanized Iron Sheet,4,Urban,Mumbai,0.8512
Galvanized Iron Sheet,23,Urban,Lucknow,0.8406
Terracotta and Clay Tiles,30,Rural,Anantapur,0.7703
Tiled Roof,24,Rural,Raichur,0.6802
Modern Composite Sheets,6,Urban,Bhopal,0.8433
Stone Slabs,22,Urban,Hyderabad,0.7372
Modern Composite Sheets,23,Urban,Pune,0.8344
Modern Composite Sheets,49,Rural,Gorakhpur,0.8593
Metal Roofs,25,Rural,Sagar,0.8801
Metal Roofs,28,Rural,Jaisalmer,0.8325
Tiled Roof,32,Rural,Gorakhpur,0.6762
Stone Slabs,19,Urban,Pune,0.7386
Metal Roofs,19,Urban,Jaipur,0.8788
Ceramic Tiles,45,Rural,Wardha,0.7997
Modern Composite Sheets,44,Rural,Sagar,0.8146
Lime-Finished Roofs,31,Rural,Jaisalmer,0.6416
Metal Roofs,6,Urban,Pune,0.8914
Concrete Roof,23,Rural,Purnia,0.674
Asbestos Sheet,13,Rural,Purnia,0.7391
Metal Roofs,21,Urban,Hyderabad,0.8648
Ceramic Tiles,12,Urban,Lucknow,0.8184
Stone Slabs,40,Rural,Sambalpur,0.6894
Lime-Finished Roofs,4,Urban,Chennai,0.6795
Galvanized Iron Sheet,24,Urban,Lucknow,0.8539
Lime-Finished Roofs,8,Urban,Lucknow,0.6929
Ceramic Tiles,36,Rural,Bathinda,0.7866
Ceramic Tiles,42,Urban,Jaipur,0.8047
Galvanized Iron Sheet,44,Urban,Patna,0.8332
Metal Roofs,46,Rural,Sambalpur,0.8431
Asbestos Sheet,2,Urban,Ahmedabad,0.793
Concrete Roof,41,Urban,Ahmedabad,0.6874
Galvanized Iron Sheet,23,Urban,Ahmedabad,0.8828
